"age","inc","educ","fsize","marr","twoearn","db","pira","hown"
31,28146,12,5,1,0,0,0,1
52,32634,16,5,0,0,0,0,1
50,52206,11,3,1,1,0,1,1
28,45252,15,4,1,1,0,0,0
42,33126,12,3,0,0,1,0,1
49,76860,15,6,1,1,1,0,1
40,57477,17,4,1,1,1,0,1
58,14637,14,1,0,0,0,0,0
29,6573,12,4,0,0,0,0,0
50,5766,14,1,0,0,0,1,0
45,43239,12,1,0,0,1,1,1
25,40323,12,3,1,1,0,0,0
30,30000,14,2,1,0,0,0,0
27,9612,17,1,0,0,0,0,0
42,85086,12,4,1,1,0,1,1
35,32208,13,2,1,1,0,0,0
35,63525,18,1,0,0,0,1,0
41,31896,12,5,1,0,0,0,0
53,9744,12,1,1,0,0,0,0
62,74589,16,3,1,0,1,0,1
45,38148,11,1,0,0,0,0,0
56,16290,12,1,0,0,0,0,0
31,11340,12,1,0,0,0,0,0
31,26175,13,5,1,1,0,0,0
63,71535,18,2,1,0,0,1,1
56,21678,13,1,0,0,1,0,1
52,27360,13,4,1,0,0,0,1
58,29724,12,3,1,1,1,0,1
42,42084,16,1,0,0,1,0,1
35,71340,14,2,1,1,0,1,1
61,35100,12,5,0,0,0,0,0
62,15051,10,2,1,0,0,0,1
48,14328,12,3,1,1,0,0,1
28,68214,14,3,1,0,0,1,1
51,30030,12,3,0,0,1,1,1
45,9315,14,2,0,0,0,0,1
28,45351,12,2,1,1,0,0,0
39,22095,16,1,0,0,0,0,0
42,47934,17,4,1,1,1,1,1
43,27168,7,6,1,0,0,0,1
31,38151,12,2,0,0,0,0,1
28,41610,14,4,1,1,1,0,1
39,31848,15,4,1,1,1,0,1
60,37794,13,2,1,1,0,1,0
58,38949,12,2,1,0,0,1,1
30,31098,16,1,0,0,0,0,0
32,53700,16,4,1,1,0,0,0
31,37317,16,2,0,0,0,0,1
31,23748,16,1,0,0,1,0,0
31,31470,13,2,1,1,0,1,1
31,42750,12,2,1,1,0,0,1
40,32976,18,1,0,0,1,0,0
31,40473,12,4,1,1,0,0,1
45,4590,12,1,0,0,0,0,0
34,16122,13,3,1,1,0,0,1
63,34764,10,2,1,1,0,0,0
55,25200,16,1,0,0,0,0,0
29,58878,1,3,1,0,0,0,1
53,14496,15,2,0,0,0,0,1
46,17280,12,6,0,0,0,0,0
39,50283,16,4,1,1,1,0,1
37,51060,15,1,0,0,0,1,1
56,31548,14,6,1,1,0,0,1
49,12675,12,3,0,0,1,0,1
41,25542,8,4,0,0,1,0,0
39,56913,16,3,1,1,0,1,1
39,28836,18,2,0,0,0,0,0
37,14400,16,2,0,0,0,0,1
32,13866,12,2,0,0,0,0,0
26,16215,13,3,1,0,0,0,1
64,43002,14,2,1,0,0,1,1
35,42393,12,4,1,0,0,0,0
37,50280,13,4,1,1,0,0,1
25,21630,16,1,0,0,0,1,0
44,51552,12,4,1,1,1,0,1
27,8286,12,1,0,0,0,0,0
44,15870,12,2,0,0,0,0,0
32,22440,12,3,1,1,0,0,1
37,20421,13,1,0,0,0,0,0
48,27156,12,2,0,0,0,0,1
38,52035,15,4,1,1,1,1,1
31,23223,12,4,1,0,0,0,0
45,34002,12,3,1,0,0,1,0
41,60600,12,5,1,1,1,0,1
59,79545,18,2,1,0,0,1,1
